Scenario 1 (region_1); 
0,0; 1,0
10,0; 1,0
20,0; 1,0
30,0; 1,0
40,0; 0,9390243902439028
50,0; 0,7959110473457677
60,0; 0,6051817689668164
70,0; 0,4467851563062853
80,0; 0,309695785792359
90,0; 0,07496413199426126
100,0; 0,0
